"","Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Brasil (Código)","Brasil","Variável (Código)","Variável","Trimestre Móvel (Código)","Trimestre Móvel"
"2","1","Brasil","1572","Mil pessoas",197074,"1","Brasil","606","População","201203","jan-fev-mar 2012"
"3","1","Brasil","1572","Mil pessoas",198503,"1","Brasil","606","População","201301","nov-dez-jan 2013"
"4","1","Brasil","1572","Mil pessoas",200217,"1","Brasil","606","População","201401","nov-dez-jan 2014"
"5","1","Brasil","1572","Mil pessoas",202067,"1","Brasil","606","População","201502","dez-jan-fev 2015"
"6","1","Brasil","1572","Mil pessoas",203763,"1","Brasil","606","População","201602","dez-jan-fev 2016"
"7","1","Brasil","1572","Mil pessoas",205305,"1","Brasil","606","População","201701","nov-dez-jan 2017"
"8","1","Brasil","1572","Mil pessoas",206966,"1","Brasil","606","População","201801","nov-dez-jan 2018"
"9","1","Brasil","1572","Mil pessoas",208738,"1","Brasil","606","População","201902","dez-jan-fev 2019"
"10","1","Brasil","1572","Mil pessoas",210210,"1","Brasil","606","População","202001","nov-dez-jan 2020"
"11","1","Brasil","1572","Mil pessoas",211782,"1","Brasil","606","População","202101","nov-dez-jan 2021"
"12","1","Brasil","1572","Mil pessoas",213440,"1","Brasil","606","População","202202","dez-jan-fev 2022"
"13","1","Brasil","1572","Mil pessoas",214924,"1","Brasil","606","População","202302","dez-jan-fev 2023"
